meal_name,price,hot_or_cold,cuisine_type,meal_category,cooking_method,meat_1,meat_2,meat_3,carbs_1,carbs_2,veggie_1,veggie_2,veggie_3,dairy_1,dairy_2,dairy_3,dairy_4,gluten_free,halal,flavouring,restaurant_ID
Gnochi Pesto,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Gnochi,Pine nuts,Basil,Garlic,NA,Cream,NA,NA,NA,No,No,Pesto,2
Spagetti Boscaiola,$18.00,Hot,Italian,Pasta,Stewed,Bacon,NA,NA,Spagetti,NA,Mushroom,Garlic,Shellots,Cream,NA,NA,NA,No,No,Mushroom & Cream,2
Penne Boscaiola,$18.00,Hot,Italian,Pasta,Stewed,Bacon,NA,NA,Penne,NA,Mushroom,Garlic,Shellots,Cream,NA,NA,NA,No,No,Mushroom & Cream,2
Fettuccine Boscaiola,$18.00,Hot,Italian,Pasta,Stewed,Bacon,NA,NA,Fettuccine,NA,Mushroom,Garlic,Shellots,Cream,NA,NA,NA,No,No,Mushroom & Cream,2
Gnochi Boscaiola,$18.00,Hot,Italian,Pasta,Stewed,Bacon,NA,NA,Gnochi,NA,Mushroom,Garlic,Shellots,Cream,NA,NA,NA,No,No,Mushroom & Cream,2
Spagetti Alio & Olio with prawns,$24.00,Hot,Italian,Pasta,Stewed,Prawns,NA,NA,Spagetti,NA,Herbs,Chilli,NA,NA,NA,NA,NA,No,No,Italian,2
Penne Alio & Olio with prawns,$24.00,Hot,Italian,Pasta,Stewed,Prawns,NA,NA,Penne,NA,Herbs,Chilli,NA,NA,NA,NA,NA,No,No,Italian,2
Fettuccine Alio & Olio with prawns,$24.00,Hot,Italian,Pasta,Stewed,Prawns,NA,NA,Fettuccine,NA,Herbs,Chilli,NA,NA,NA,NA,NA,No,No,Italian,2
Gnochi Alio & Olio with prawns,$24.00,Hot,Italian,Pasta,Stewed,Prawns,NA,NA,Gnochi,NA,Herbs,Chilli,NA,NA,NA,NA,NA,No,No,Italian,2
Spagetti,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Spagetti,NA,Chilli,NA,NA,NA,NA,NA,NA,No,No,Italian,2
Penne,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Penne,NA,Chilli,NA,NA,NA,NA,NA,NA,No,No,Italian,2
Fettuccine,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Fettuccine,NA,Chilli,NA,NA,NA,NA,NA,NA,No,No,Italian,2
Gnochi,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Gnochi,NA,Chilli,NA,NA,NA,NA,NA,NA,No,No,Italian,2
Minestrone Soup,$12.00,Hot,Italian,Soup,Boiled,NA,NA,NA,Starch,Beans,Carrots,Celery,Herbs,NA,NA,NA,NA,No,No,Herbs,2
Chicken Schnitzel Napolitana,$22.00,Hot,Italian,Main,Fried,Chicken,NA,NA,Bread Crumbs,NA,Tomatoes,NA,NA,Parmesan,NA,NA,NA,No,No,Tomato,2
Chicken Schnitzel Lemon,$20.00,Hot,Italian,Main,Fried,Chicken,NA,NA,Bread Crumbs,NA,Lemon,Mixed,NA,NA,NA,NA,NA,No,No,Lemon,2
Osso Buco,$22.00,Hot,Italian,Main,Stewed,Beef,NA,NA,NA,NA,Carrots,Celery,Garlic,NA,NA,NA,NA,No,No,Red Wine,2
Cielo Terra Mare,$25.00,Hot,Italian,Main,Fried,Sausage,Chicken,Prawns,Bread Crumbs,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Italian,2
Veal Pizzailoa,$24.00,Hot,Italian,Main,Fried,Veal,NA,NA,NA,NA,Basil,Garlic,Olive,NA,NA,NA,NA,No,No,Tomato,2
Veal Funghi,$25.00,Hot,Italian,Main,Fried,Veal,NA,NA,NA,NA,Mushroom,Garlic,NA,Cream,NA,NA,NA,No,No,Sweet Liquor,2
Tasmanian Smooth Dory,$25.00,Hot,Italian,Main,Pan fried,Dory,NA,NA,NA,NA,Lime,Lemon,Garlic,NA,NA,NA,NA,No,No,Lemon & Lime,2
Italian Prawns,$25.00,Hot,Italian,Main,Pan fried,Prawns,NA,NA,NA,NA,Garlic,Olive,Chilli,Cream,NA,NA,NA,No,No,Tomato,2
Garlic Prawns,$25.00,Hot,Italian,Main,Pan fried,Prawns,NA,NA,NA,NA,Garlic,Olive,Herbs,NA,NA,NA,NA,No,No,Garlic & Herbs,2
